A4 09 4E   00 43 3B 01 03 64 00 03 00   FE,in
A4 09 4E   00 43 3B 01 03 64 00 03 00   FE,in
A4 09 50   00 44 04 02 00 00 00 00 00   BF 00 00,out          # Burst transfer data
A4 09 50   A0 42 4F 42 00 00 00 00 00   12 00 00,out          # Burst transfer data
A4 09 4E   00 43 3B 01 03 64 00 03 00   FE,in
A4 03 40   00 01 0A                     EC,in         # Ack for burst transfer begin 
A4 03 40   00 01 05                     E3,in         # Ack for burst transfer data
A4 09 50   00 43 3B 01 03 64 00 03 00   E0,in
A4 09 50   20 44 84 01 08 81 10 00 00   85,in
A4 09 50   C0 4A 29 04 D0 9A 43 E4 FA   4D,in
A4 09 4E   00 43 3B 02 03 00 00 00 00   9A,in
A4 09 50   00 44 04 02 00 ...           ,out          # Burst transfer data
A4 09 50   A0 42 4F 42 00 ...           ,out          # Burst transfer data
A4 09 4E   00 43 3B 02 03 ...           ,in
A4 03 40   00 01 0A                     EC,in         # Ack for burst transfer begin 
A4 03 40   00 01 05                     E3,in         # Ack for burst transfer data
A4 09 4E   00 43 3B 02 03 ...           ,in
A4 09 4F   00 44 06 00 00 00 00 00 00   A0 00 00,out  # Ack data
A4 09 4E   00 43 3B 02 03 ...           ,in
A4 03 40   00 01 05                     E3,in         # Ack for ack data !
A4 09 50   00 43 3B 02 03 ...           ,in
A4 09 50   20 44 86 02 00 ...           ,in
A4 09 50   40 00 27 17 12 ...           ,in
A4 09 50   60 F0 AA 70 00 ...           ,in
A4 09 50   20 C9 02 86 00 ...           ,in
A4 09 50   40 01 06 14 15 ...           ,in
A4 09 50   60 A7 AA 70 00 ...           ,in
A4 09 50   A0 D7 02 8E 00 ...           ,in
A4 09 4E   00 43 3B 02 03 ...           ,in
A4 09 4E   00 43 3B 02 03 ...           ,in
A4 09 4E   00 43 3B 02 03 ...           ,in
A4 09 4E   00 43 3B 02 03 ...           ,in
A4 09 4E   00 43 3B 02 03 ...           ,in
A4 09 4E   00 43 3B 02 03 ...           ,in
A4 09 4F   00 44 09 FF 00 00 00 00 00   50 00 00,out  # Ack data
A4 09 4E   00 43 3B 02 03 ...           ,in
A4 03 40   00 01 05                     E3,in
A4 09 50   00 43 3B 02 03 ...           ,in
A4 09 50   20 44 89 FF 00 ...           ,in
A4 09 50   C0 21 4A B0 41 ...           ,in
A4 09 4F   00 44 09 00 00 00 00 00 00   AF 00 00,out  # Ack data
A4 09 4E   00 43 3B 02 03 ...           ,in
A4 03 40   00 01 05                     E3,in
A4 09 50   00 43 3B 02 03 00 00 00 00   84,in  # Real beginning ? (00 20 40 E0 20 40 60 ...)
A4 09 50   20 44 89 00 01 00 00 05 00   14,in
A4 09 50   40 00 82 07 43 00 E1 22 00   B8,in
A4 09 50   E0 B2 BD 9D 07 00 00 00 00   88,in  # E0=224(marks session info ?), B2=178(avgHR ?), BD=189(maxHR ?), 9D=157, 07
A4 09 50   00 43 3B 02 03 ...           ,in  # Real beginning ? (00 20 40 60 20 40 60 ...)
A4 09 50   20 44 89 00 01 01 00 05 00   14,in # The 5 is the offset of dist at beginning ? (or speed again but for how long ?)
A4 09 50   40 52 6C 04 57 ...           ,in  # Beginning of the hr / speed info: 52 = 82 bpm - 46C = 11.32 km/h => en 5s, 15.66667 m ?
A4 09 50   60 05 61 E9 04 ...           ,in
A4 09 50   20 79 04 83 58 ...           ,in
A4 09 50   40 95 8D 03 95 ...           ,in
A4 09 50   60 04 93 1A 04 ...           ,in
A4 09 50   20 50 06 92 56 ...           ,in
A4 09 50   40 95 80 07 A3 ...           ,in
A4 09 50   60 06 AC 52 06 ...           ,in
A4 09 50   20 44 05 B0 0E ...           ,in
A4 09 50   40 AF F4 04 AE ...           ,in
A4 09 50   60 05 AD F4 04 ...           ,in
A4 09 50   20 03 05 AB 0B ...           ,in
A4 09 50   40 AC 19 05 AB ...           ,in
A4 09 50   60 05 AE 9B 05 ...           ,in
A4 09 50   20 58 05 B2 4B ...           ,in
A4 09 50   40 B1 D1 05 B3 ...           ,in
A4 09 50   60 B4 51 06 B4 ...           ,in
A4 09 50   20 05 B5 33 05 ...           ,in
A4 09 50   40 88 04 B2 69 ...           ,in
A4 09 50   60 B0 9D 04 AF ...           ,in
A4 09 50   20 04 AA 6F 03 ...           ,in
A4 09 50   40 B6 04 A1 C0 ...           ,in
A4 09 50   60 A9 00 05 AA ...           ,in
A4 09 50   20 05 A9 12 05 ...           ,in
A4 09 50   40 19 05 AD 1A ...           ,in
A4 09 50   60 AF 13 05 B0 ...           ,in
A4 09 50   20 05 B2 BF 04 ...           ,in
A4 09 50   40 B5 04 AF BE ...           ,in
A4 09 50   60 AF B3 04 A1 ...           ,in
A4 09 50   20 05 8E 59 05 ...           ,in
A4 09 50   40 E9 04 98 E8 ...           ,in
A4 09 50   60 A0 00 05 A3 ...           ,in
A4 09 50   20 A6 08 05 A8 ...           ,in
A4 09 50   40 04 A5 5D 04 ...           ,in
A4 09 50   60 6C 04 A3 B3 ...           ,in
A4 09 50   20 A7 C2 04 AA ...           ,in
A4 09 50   40 04 AE C7 04 ...           ,in
A4 09 50   60 D5 04 AE C8 ...           ,in
A4 09 50   20 AD D6 04 AD ...           ,in
A4 09 50   40 04 AD C7 04 ...           ,in
A4 09 50   60 D1 04 AE E4 ...           ,in
A4 09 50   20 AF 10 05 AE ...           ,in
A4 09 50   40 05 AE 01 05 ...           ,in
A4 09 50   60 10 05 B0 1B ...           ,in
A4 09 50   20 B0 E6 04 B0 ...           ,in
A4 09 50   40 04 B1 D9 04 ...           ,in
A4 09 50   60 AE 04 B1 A9 ...           ,in
A4 09 50   20 B3 CF 04 B3 ...           ,in
A4 09 50   40 B4 B5 04 B2 ...           ,in
A4 09 50   60 04 B1 AC 04 ...           ,in
A4 09 50   20 BA 04 B4 B5 ...           ,in
A4 09 50   40 B4 9F 04 B4 ...           ,in
A4 09 50   60 04 B5 20 05 ...           ,in
A4 09 50   20 7E 05 B9 74 ...           ,in
A4 09 50   40 B9 E3 04 B8 ...           ,in
A4 09 50   60 04 B4 CD 04 ...           ,in
A4 09 50   20 BE 04 B5 BF ...           ,in
A4 09 50   40 B3 C5 04 B2 ...           ,in
A4 09 50   60 04 B1 CE 04 ...           ,in
A4 09 50   20 B6 04 AF B4 ...           ,in
A4 09 50   40 AF B1 04 AE ...           ,in
A4 09 50   60 04 AB C8 04 ...           ,in
A4 09 50   20 C3 04 AF CF ...           ,in
A4 09 50   C0 AF D0 04 B0 ...           ,in
A4 09 4E   00 AF D0 04 B0 ...           ,in
A4 09 50   00 43 3B 02 03 ...           ,in
A4 09 50   20 44 89 00 01 ...           ,in
A4 09 50   40 B1 DA 04 B1 ...           ,in
A4 09 50   60 04 AF CA 04 ...           ,in
A4 09 50   20 C3 04 AF 05 ...           ,in
A4 09 50   40 B2 FF 04 B3 ...           ,in
A4 09 50   60 04 B3 BE 04 ...           ,in
A4 09 50   20 A7 04 B0 B3 ...           ,in
A4 09 50   40 B0 B3 04 B0 ...           ,in
A4 09 50   60 05 B5 22 05 ...           ,in
A4 09 50   20 DD 04 B5 D2 ...           ,in
A4 09 50   40 B5 B8 04 B5 ...           ,in
A4 09 50   60 04 B5 D9 04 ...           ,in
A4 09 50   20 44 05 BA 61 ...           ,in
A4 09 50   40 BA 0E 05 B9 ...           ,in
A4 09 50   60 04 B7 B1 04 ...           ,in
A4 09 50   20 B3 04 B7 DE ...           ,in
A4 09 50   40 B7 4C 05 B8 ...           ,in
A4 09 50   60 B9 78 05 B9 ...           ,in
A4 09 50   20 05 BA 08 05 ...           ,in
A4 09 50   40 DD 04 B7 DD ...           ,in
A4 09 50   60 B6 D5 04 B5 ...           ,in
A4 09 50   20 04 B6 E5 04 ...           ,in
A4 09 50   40 DC 04 B3 E3 ...           ,in
A4 09 50   60 B2 01 05 B2 ...           ,in
A4 09 50   20 04 B6 E8 04 ...           ,in
A4 09 50   40 65 05 B7 37 ...           ,in
A4 09 50   60 B5 C9 04 B4 ...           ,in
A4 09 50   20 04 B5 AE 04 ...           ,in
A4 09 50   40 98 04 B4 CE ...           ,in
A4 09 50   60 B4 D1 04 B3 ...           ,in
A4 09 50   20 04 B2 A8 04 ...           ,in
A4 09 50   40 9C 04 B0 A2 ...           ,in
A4 09 50   60 B1 A2 04 B1 ...           ,in
A4 09 50   20 B1 AF 04 B1 ...           ,in
A4 09 50   40 04 AF 2C 05 ...           ,in
A4 09 50   60 8D 05 B7 7C ...           ,in
A4 09 50   20 B9 F6 04 BA ...           ,in
A4 09 50   40 04 B9 C5 04 ...           ,in
A4 09 50   60 CC 04 B5 A3 ...           ,in
A4 09 50   20 B1 91 04 B1 ...           ,in
A4 09 50   40 04 B3 A3 04 ...           ,in
A4 09 50   60 96 04 B3 95 ...           ,in
A4 09 50   20 B4 9F 04 B4 ...           ,in
A4 09 50   40 04 B4 BB 04 ...           ,in
A4 09 50   60 DA 04 B6 D3 ...           ,in
A4 09 50   20 B5 B1 04 B5 ...           ,in
A4 09 50   40 04 B5 AE 04 ...           ,in
A4 09 50   60 F2 04 B5 FC ...           ,in
A4 09 50   20 B5 C7 04 B4 ...           ,in
A4 09 50   40 B5 1E 05 B7 ...           ,in
A4 09 50   60 05 B9 2D 05 ...           ,in
A4 09 50   20 EE 04 B9 30 ...           ,in
A4 09 50   40 B7 E7 03 B5 ...           ,in
A4 09 50   60 04 B3 08 04 ...           ,in
A4 09 50   20 02 04 B2 0A ...           ,in
A4 09 50   40 B1 2C 04 B0 ...           ,in
A4 09 50   60 04 AF 39 04 ...           ,in
A4 09 50   20 53 04 AE 4B ...           ,in
A4 09 50   40 AD C7 04 AF ...           ,in
A4 09 50   60 05 B4 2B 05 ...           ,in
A4 09 50   20 56 05 BB 37 ...           ,in
A4 09 50   40 B9 B1 04 B7 ...           ,in
A4 09 50   60 04 B4 90 04 ...           ,in
A4 09 50   20 A7 04 B4 A9 ...           ,in
A4 09 50   C0 B5 B5 04 B5 ...           ,in
A4 09 4E   00 B5 B5 04 B5 ...           ,in
A4 09 50   00 43 3B 02 03 ...           ,in
A4 09 50   20 44 89 00 01 ...           ,in
A4 09 50   40 B5 97 04 B5 ...           ,in
A4 09 50   60 04 B6 9F 04 ...           ,in
A4 09 50   20 B7 04 B5 BA ...           ,in
A4 09 50   40 B4 AF 04 B4 ...           ,in
A4 09 50   60 04 B3 A9 04 ...           ,in
A4 09 50   20 8F 04 B5 85 ...           ,in
A4 09 50   40 B4 8C 04 B3 ...           ,in
A4 09 50   60 04 B3 91 04 ...           ,in
A4 09 50   20 2E 05 B5 71 ...           ,in
A4 09 50   40 B9 E4 04 B9 ...           ,in
A4 09 50   60 04 B8 DA 04 ...           ,in
A4 09 50   20 CE 04 B6 C2 ...           ,in
A4 09 50   40 B7 08 05 B7 ...           ,in
A4 09 50   60 04 B5 CC 04 ...           ,in
A4 09 50   20 F6 04 B7 2A ...           ,in
A4 09 50   40 BB 3C 05 BC ...           ,in
A4 09 50   60 BC AC 04 BA ...           ,in
A4 09 50   20 04 B7 94 04 ...           ,in
A4 09 50   40 8E 04 B6 90 ...           ,in
A4 09 50   60 B6 92 04 B6 ...           ,in
A4 09 50   20 04 B8 FC 04 ...           ,in
A4 09 50   40 27 05 BC FD ...           ,in
A4 09 50   60 BB AB 04 BA ...           ,in
A4 09 50   20 04 B9 8A 04 ...           ,in
A4 09 50   40 A1 04 B8 AE ...           ,in
A4 09 50   60 B7 D2 04 B7 ...           ,in
A4 09 50   20 04 B6 DC 04 ...           ,in
A4 09 50   40 E1 04 B6 01 ...           ,in
A4 09 50   60 B7 46 05 B8 ...           ,in
A4 09 50   20 05 B9 14 05 ...           ,in
A4 09 50   40 D5 04 B8 BC ...           ,in
A4 09 50   60 B8 C4 04 B9 ...           ,in
A4 09 50   20 BA B9 04 BA ...           ,in
A4 09 50   40 04 B9 14 05 ...           ,in
A4 09 50   60 D2 04 B8 B8 ...           ,in
A4 09 50   20 B9 A4 04 B9 ...           ,in
A4 09 50   40 04 B8 92 04 ...           ,in
A4 09 50   60 92 04 B7 A3 ...           ,in
A4 09 50   20 B6 9B 04 B6 ...           ,in
A4 09 50   40 04 B8 97 04 ...           ,in
A4 09 50   60 94 04 B8 98 ...           ,in
A4 09 50   20 B6 8E 04 B6 ...           ,in
A4 09 50   40 04 B7 7A 04 ...           ,in
A4 09 50   60 97 04 B7 93 ...           ,in
A4 09 50   20 B7 B3 04 B7 ...           ,in
A4 09 50   40 04 B6 A2 04 ...           ,in
A4 09 50   60 B2 04 B7 F4 ...           ,in
A4 09 50   20 B9 5A 05 BA ...           ,in
A4 09 50   40 BA 1C 05 BB ...           ,in
A4 09 50   60 04 BB B3 04 ...           ,in
A4 09 50   20 AA 04 B9 A0 ...           ,in
A4 09 50   40 B9 A9 04 B9 ...           ,in
A4 09 50   60 04 B9 E8 04 ...           ,in
A4 09 50   20 F8 04 B9 E1 ...           ,in
A4 09 50   40 B7 B7 04 B5 ...           ,in
A4 09 50   60 04 B5 C2 04 ...           ,in
A4 09 50   20 B7 04 B7 BC ...           ,in
A4 09 50   40 B9 70 05 BA ...           ,in
A4 09 50   60 05 BB 3D 05 ...           ,in
A4 09 50   20 E0 04 BD CC ...           ,in
A4 09 50   40 BB CD 04 BB ...           ,in
A4 09 50   60 04 BB DA 04 ...           ,in
A4 09 50   20 DB 04 BC EA ...           ,in
A4 09 50   C0 BC F4 04 BC ...           ,in
A4 09 4E   00 BC F4 04 BC ...           ,in
A4 09 50   00 43 3B 02 03 ...           ,in
A4 09 50   20 44 89 00 01 ...           ,in
A4 09 50   40 BC FE 04 BD ...           ,in
A4 09 50   60 04 BB D2 04 ...           ,in
A4 09 50   20 9D 04 B9 97 ...           ,in
A4 09 50   40 BA CD 04 BA ...           ,in
A4 09 50   60 04 B9 C6 04 ...           ,in
A4 09 50   20 F8 F4 AE E0 ...           ,in
A4 09 50   40 AE AD 04 AD ...           ,in
A4 09 50   60 04 AC B7 04 ...           ,in
A4 09 50   20 B9 04 AC BC ...           ,in
A4 09 50   40 AC AC 04 AB ...           ,in
A4 09 50   60 04 AC B7 04 ...           ,in
A4 09 50   20 AE 04 B0 AA ...           ,in
A4 09 50   40 B1 A6 04 B2 ...           ,in
A4 09 50   60 04 B0 B0 04 ...           ,in
A4 09 50   20 F2 04 AE EB ...           ,in
A4 09 50   40 AE 79 06 B0 ...           ,in
A4 09 50   60 B3 E4 05 B4 ...           ,in
A4 09 50   20 05 B6 05 05 ...           ,in
A4 09 50   40 7E 05 B7 F4 ...           ,in
A4 09 50   60 B5 AD 04 B4 ...           ,in
A4 09 50   20 04 B4 75 04 ...           ,in
A4 09 50   40 A0 04 B3 A1 ...           ,in
A4 09 50   60 B2 87 04 B1 ...           ,in
A4 09 50   20 04 B0 9F 04 ...           ,in
A4 09 50   40 F6 04 AE 3A ...           ,in
A4 09 50   60 B0 94 05 B1 ...           ,in
A4 09 50   20 05 B3 85 05 ...           ,in
A4 09 50   40 E8 04 B3 D0 ...           ,in
A4 09 50   60 B3 BD 04 B0 ...           ,in
A4 09 50   20 04 AF B1 04 ...           ,in
A4 09 50   40 B7 04 B1 C6 ...           ,in
A4 09 50   60 B1 AF 04 B1 ...           ,in
A4 09 50   20 B1 95 04 B1 ...           ,in
A4 09 50   40 04 B0 7A 04 ...           ,in
A4 09 50   60 7B 04 AF 80 ...           ,in
A4 09 50   20 AF 7F 04 B4 ...           ,in
A4 09 50   40 04 AE C1 04 ...           ,in
A4 09 50   60 C9 04 AE E1 ...           ,in
A4 09 50   20 AD A7 04 AD ...           ,in
A4 09 50   40 04 AC 7A 04 ...           ,in
A4 09 50   60 5B 04 AB 5E ...           ,in
A4 09 50   20 AB 57 04 AA ...           ,in
A4 09 50   40 04 A8 6E 04 ...           ,in
A4 09 50   60 A9 04 AB A0 ...           ,in
A4 09 50   20 AB 67 04 AB ...           ,in
A4 09 50   40 04 AB 59 04 ...           ,in
A4 09 50   60 96 04 AB AF ...           ,in
A4 09 50   20 AD D2 04 AD ...           ,in
A4 09 50   40 AD C2 04 AC ...           ,in
A4 09 50   60 04 AB 9A 04 ...           ,in
A4 09 50   20 89 04 AC 1D ...           ,in
A4 09 50   40 FF FF FF FF ...           ,in
A4 09 50   60 FF FF FF FF ...           ,in
A4 09 50   20 FF FF FF FF ...           ,in
A4 09 50   40 FF FF FF FF ...           ,in
A4 09 50   60 FF FF FF FF ...           ,in
A4 09 50   20 FF FF FF FF ...           ,in
A4 09 50   40 FF FF FF FF ...           ,in
A4 09 50   60 FF FF FF FF ...           ,in
A4 09 50   20 FF FF FF FF ...           ,in
A4 09 50   40 FF FF FF FF ...           ,in
A4 09 50   60 FF FF FF FF ...           ,in
A4 09 50   20 FF FF FF FF ...           ,in
A4 09 50   C0 FF FF FF FF ...           ,in
A4 09 4F   00 44 09 01 00 00 00 00 00   AE 00 00,out  # Ack data
A4 09 4E   00 43 3B 02 03 ...           ,in
A4 03 40   00 01 05                     E3,in
A4 09 50   00 43 3B 02 03 ...           ,in
A4 09 50   20 44 89 01 01 ...           ,in
A4 09 50   40 00 65 03 43 ...           ,in
A4 09 50   E0 B1 BC 1A 06 ...           ,in
A4 09 50   00 43 3B 02 03 ...           ,in
A4 09 50   20 44 89 01 01 ...           ,in
A4 09 50   40 48 75 03 74 ...           ,in
A4 09 50   60 05 9F D0 05 ...           ,in
A4 09 50   20 36 05 A6 F7 ...           ,in
A4 09 50   40 A7 34 05 A7 ...           ,in
A4 09 50   60 04 A6 0B 05 ...           ,in
A4 09 50   20 3B 05 A7 18 ...           ,in
A4 09 50   40 A6 DF 04 A5 ...           ,in
A4 09 50   60 05 A8 80 05 ...           ,in
A4 09 50   20 5B 05 AB 5F ...           ,in
A4 09 50   40 A8 AC 05 A9 ...           ,in
A4 09 50   60 05 A9 A5 05 ...           ,in
A4 09 50   20 9B 05 AA 7B ...           ,in
